date,avg_polarity,avg_subjectivity,max_polarity,min_polarity,article_count,polarity_volatility,Negative_pct,Neutral_pct,Positive_pct,Very Positive_pct
2025-03-24,0.3020833333333333,0.37916666666666665,0.4166666666666667,0.1875,6.0,0.12551975276160057,0.0,0.0,100.0,0.0
2025-03-25,0.0,0.0,0.0,0.0,9.0,0.0,0.0,100.0,0.0,0.0
2025-03-26,0.2125,0.425,0.3,0.125,6.0,0.09585144756340405,0.0,0.0,100.0,0.0
2025-03-27,0.2125,0.425,0.3,0.125,6.0,0.09585144756340405,0.0,0.0,100.0,0.0
2025-03-28,0.2125,0.425,0.3,0.125,6.0,0.09585144756340405,0.0,0.0,100.0,0.0
2025-03-29,0.09440476190476187,0.29130952380952374,0.10714285714285714,0.0816666666666666,6.0,0.013953884203107815,0.0,50.0,5.357142857142857,0.0
2025-03-30,0.0,0.0,0.0,0.0,3.0,0.0,0.0,100.0,0.0,0.0
2025-03-31,0.6166666666666667,0.8166666666666668,0.6166666666666667,0.6166666666666667,3.0,0.0,0.0,0.0,0.0,100.0
2025-04-01,0.022727272727272707,0.41464646464646465,0.06818181818181818,0.0,9.0,0.03409090909090906,0.0,100.0,0.0,0.0
2025-04-02,-0.015909090909090904,0.3386363636363636,-0.0159090909090909,-0.015909090909090914,3.0,8.498374721940739e-18,0.0,100.0,0.0,0.0
2025-04-03,0.3121212121212121,0.48484848484848486,0.3121212121212121,0.3121212121212121,3.0,0.0,0.0,0.0,100.0,0.0
2025-04-04,0.12857142857142853,0.31190476190476185,0.12857142857142856,0.1285714285714285,3.0,2.7755575615628914e-17,0.0,0.0,100.0,0.0
2025-04-05,0.12857142857142853,0.31190476190476185,0.12857142857142856,0.1285714285714285,3.0,2.7755575615628914e-17,0.0,0.0,100.0,0.0
2025-04-06,0.08888888888888884,0.5611111111111111,0.08888888888888888,0.0888888888888888,3.0,4.8074067159589095e-17,0.0,100.0,0.0,0.0
2025-04-07,-0.1434343434343434,0.5070707070707071,-0.1434343434343434,-0.14343434343434344,3.0,2.7755575615628914e-17,100.0,0.0,0.0,0.0
2025-04-08,0.4446428571428571,0.4607142857142857,0.675,0.2142857142857142,6.0,0.2523436068505944,0.0,0.0,50.0,5.357142857142857
2025-04-09,-0.016666666666666653,0.17777777777777773,0.0,-0.03333333333333333,6.0,0.018257418583505523,0.0,100.0,0.0,0.0
2025-04-10,0.0,0.0,0.0,0.0,3.0,0.0,0.0,100.0,0.0,0.0
2025-04-11,0.0,0.25,0.0,0.0,3.0,0.0,0.0,100.0,0.0,0.0
2025-04-12,0.0,0.25,0.0,0.0,3.0,0.0,0.0,100.0,0.0,0.0
2025-04-13,0.06,0.5233333333333332,0.06,0.06,3.0,0.0,0.0,100.0,0.0,0.0
2025-04-14,0.08749999999999998,0.3,0.2125,-0.0375,6.0,0.13693063937629152,0.0,50.0,5.357142857142857,0.0
2025-04-15,-0.021874999999999995,0.22499999999999995,-0.021875,-0.021875,3.0,0.0,0.0,100.0,0.0,0.0
2025-04-16,0.0,0.0,0.0,0.0,3.0,0.0,0.0,100.0,0.0,0.0
2025-04-17,0.0,0.0,0.0,0.0,3.0,0.0,0.0,100.0,0.0,0.0
2025-04-18,0.0,0.0,0.0,0.0,3.0,0.0,0.0,100.0,0.0,0.0
2025-04-19,0.18125000000000002,0.58,0.33,0.0325,6.0,0.1629474608577869,0.0,50.0,5.357142857142857,0.0
2025-04-20,0.3111111111111111,0.41111111111111115,0.3111111111111111,0.3111111111111111,3.0,0.0,0.0,0.0,100.0,0.0
2025-04-21,0.275,0.3,0.3,0.25,2.0,0.03535533905932739,0.0,0.0,100.0,0.0
