timestamp,forecast_price
2025-05-02 02:35:47.873455+00:00,96997.05261868212
2025-05-02 02:36:47.873455+00:00,96998.42683174944
2025-05-02 02:37:47.873455+00:00,97001.97099588798
2025-05-02 02:38:47.873455+00:00,97003.03556485657
2025-05-02 02:39:47.873455+00:00,97006.14118479913
2025-05-02 02:40:47.873455+00:00,97006.94982871856
2025-05-02 02:41:47.873455+00:00,97009.6767056024
2025-05-02 02:42:47.873455+00:00,97010.2745498034
2025-05-02 02:43:47.873455+00:00,97012.67387418865
2025-05-02 02:44:47.873455+00:00,97013.09878243967
2025-05-02 02:45:47.873455+00:00,97015.21440818447
2025-05-02 02:46:47.873455+00:00,97015.49811105856
2025-05-02 02:47:47.873455+00:00,97017.36763832284
2025-05-02 02:48:47.873455+00:00,97017.53668877171
2025-05-02 02:49:47.873455+00:00,97019.19238491463
2025-05-02 02:50:47.873455+00:00,97019.26896734367
2025-05-02 02:51:47.873455+00:00,97020.73855013386
2025-05-02 02:52:47.873455+00:00,97020.74116528228
2025-05-02 02:53:47.873455+00:00,97022.0484691509
2025-05-02 02:54:47.873455+00:00,97021.9925136953
2025-05-02 02:55:47.873455+00:00,97023.15805663096
2025-05-02 02:56:47.873455+00:00,97023.0563135588
2025-05-02 02:57:47.873455+00:00,97024.09777958633
2025-05-02 02:58:47.873455+00:00,97023.9608329491
2025-05-02 02:59:47.873455+00:00,97024.89348287825
2025-05-02 03:00:47.873455+00:00,97024.73006846625
2025-05-02 03:01:47.873455+00:00,97025.56708968228
2025-05-02 03:02:47.873455+00:00,97025.38439140964
2025-05-02 03:03:47.873455+00:00,97026.13719585264
2025-05-02 03:04:47.873455+00:00,97025.94109615307
