timestamp,price_usd,market_cap,volume_24h,price_change_24h
2025-05-02T02:17:02.688139,96755,1921585786874.6523,29917983558.006145,1.749398282037222
2025-05-02T02:17:32.793432,96755,1921585786874.6523,29917983558.006145,1.749398282037222
2025-05-02T02:18:02.932537,96748,1921585786874.6523,29805180574.29035,1.7680516016440235
2025-05-02T02:18:33.051354,96748,1921585786874.6523,29805180574.29035,1.7680516016440235
2025-05-02T02:19:03.189253,96748,1921585786874.6523,29805180574.29035,1.7680516016440235
2025-05-02T02:19:33.316834,96750,1921286515406.8835,29689529736.70395,1.7700082590526651
2025-05-02T02:20:03.443646,96750,1921286515406.8835,29689529736.70395,1.7700082590526651
2025-05-02T02:20:33.536472,96750,1921286515406.8835,29689529736.70395,1.7700082590526651
2025-05-02T02:21:03.675020,96734,1921286515406.8835,29691246320.308407,1.753418871332638
2025-05-02T02:21:33.771224,96734,1921286515406.8835,29691246320.308407,1.753418871332638
